rank,Youtuber,subscribers,video views,category,Title,uploads,Country,Abbreviation,channel_type,video_views_rank,country_rank,channel_type_rank,video_views_for_the_last_30_days,lowest_monthly_earnings,highest_monthly_earnings,lowest_yearly_earnings,highest_yearly_earnings,created_year,created_month,created_date,Gross tertiary education enrollment (%),Population,Unemployment rate,Urban_population,Latitude,Longitude,content_type,created_month_num,created_full_date,channel_age_days,created_weekday
950,People Vs Food,12500000,1136534702.0,Entertainment,People Vs Food,601,United States,US,Entertainment,9980.0,175.0,171.0,15340000.0,3800.0,61400.0,46000.0,736300.0,2013.0,7.0,30,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891,Entertainment,7,2013-07-30,4555,1
951,Wolfoo Family,12500000,161254021.0,,Wolfoo Family,61,United States,US,Film,81750.0,175.0,46.0,757789000.0,0.0,0.0,0.0,0.0,2019.0,10.0,21,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891,Film,10,2019-10-21,2281,0
952,Ja Mill,12500000,1302818088.0,People & Blogs,jamill,0,Unknown,Unknown,,4048879.0,,,64085000.0,0.0,0.0,0.0,0.0,2006.0,2.0,22,,,,,,,People & Blogs,2,2006-02-22,7270,2
953,Health Time,12500000,1002219689.0,Howto & Style,Health Time,1810,India,IN,People,11667.0,123.0,62.0,1395000.0,349.0,5600.0,4200.0,66900.0,2016.0,9.0,25,28.1,1366417754.0,5.36,471031528.0,20.593684,78.96288,Howto & Style,9,2016-09-25,3402,6
954,Yair17,12500000,1402042328.0,Gaming,Yair17,1109,Mexico,MX,Games,7741.0,33.0,68.0,8869000.0,2200.0,35500.0,26600.0,425700.0,2014.0,1.0,22,40.2,126014024.0,3.42,102626859.0,23.634501,-102.552784,Gaming,1,2014-01-22,4379,2
955,Little Baby Bum en Espaï¿½ï,12500000,6956320454.0,Education,Little Baby Bum en Espaï¿½ï,1459,Spain,ES,Education,843.0,19.0,46.0,16319000.0,4100.0,65300.0,49000.0,783300.0,2014.0,6.0,6,88.9,47076781.0,13.96,37927409.0,40.463667,-3.74922,Education,6,2014-06-06,4244,4
956,First We Feast,12500000,2983799729.0,Howto & Style,First We Feast,1076,United States,US,Entertainment,2892.0,175.0,171.0,111252000.0,27800.0,445000.0,333800.0,5300000.0,2014.0,2.0,28,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891,Howto & Style,2,2014-02-28,4342,4
957,Mï¿½ï¿½ï¿½ï¿½,12500000,3140883140.0,Travel & Events,Mï¿½ï¿½ï¿½ï¿½,766,Mexico,MX,Entertainment,2691.0,33.0,171.0,31007000.0,7800.0,124000.0,93000.0,1500000.0,2015.0,7.0,6,40.2,126014024.0,3.42,102626859.0,23.634501,-102.552784,Travel & Events,7,2015-07-06,3849,0
958,Bebefinn - Nursery Rhymes & Kids Songs,12500000,4163639093.0,,Bebefinn - Nursery Rhymes & Kids Songs,322,United States,US,Entertainment,1794.0,175.0,171.0,565459000.0,0.0,0.0,0.0,0.0,2022.0,3.0,30,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891,Entertainment,3,2022-03-30,1390,2
959,Troom Troom PT,12500000,4384177908.0,Howto & Style,Troom Troom PT,2738,Unknown,Unknown,Howto,1667.0,,37.0,13501000.0,3400.0,54000.0,40500.0,648100.0,2015.0,4.0,19,,,,,,,Howto & Style,4,2015-04-19,3927,6
960,Parafernalha,12500000,4625777945.0,Entertainment,Parafernalha,1888,Brazil,BR,Entertainment,1532.0,54.0,171.0,7158000.0,1800.0,28600.0,21500.0,343600.0,2011.0,5.0,13,51.3,212559417.0,12.08,183241641.0,-14.235004,-51.92528,Entertainment,5,2011-05-13,5364,4
